iter	TotalF1:average=Macro	MultiClass
561	0.9758582468	0.07459620702
562	0.9758669142	0.07455661251
563	0.9759856106	0.07450451817
564	0.975975883	0.07447053267
565	0.9759752377	0.07443446286
566	0.9760072911	0.07439353289
567	0.9759923527	0.07437173744
568	0.9760441198	0.07432599679
569	0.9761036889	0.07428270832
570	0.9761036889	0.07424303559
571	0.9760859289	0.07422138803
572	0.9761071559	0.07418332272
573	0.9761071559	0.07414180785
574	0.9761123565	0.0741072141
575	0.9760917746	0.07408282188
576	0.9761554555	0.07404202893
577	0.9761766823	0.07399439417
578	0.9762191359	0.07396689358
579	0.9762191359	0.07394043482
580	0.9762208695	0.07390451402
581	0.9762644115	0.07386027624
582	0.9762678786	0.07383535162
583	0.9763246242	0.0737898479
584	0.9763813694	0.0737399143
585	0.9764433147	0.07368560508
586	0.9764426701	0.07365810498
587	0.9764478708	0.07363133356
588	0.9765275747	0.07359507239
589	0.9765522679	0.07357879128
590	0.9765574686	0.07355603708
591	0.9765310418	0.07351533453
592	0.9765533569	0.07348858801
593	0.9765797837	0.07345384659
594	0.9765958089	0.07341904024
595	0.9766365271	0.07337032663
596	0.9766560194	0.07334333607
597	0.9766789787	0.0732927231
598	0.9767036716	0.07324785388
599	0.9767409221	0.07321756554
600	0.9767443894	0.07318604746
601	0.976710606	0.07315385438
602	0.9766859131	0.07312102228
603	0.9767266309	0.07309629963
604	0.9767088724	0.07305883743
605	0.9767123396	0.07302290085
606	0.9767318317	0.07299671629
607	0.9767885741	0.0729593008
608	0.976808066	0.07293346128
609	0.9768292914	0.07288198262
610	0.9768706526	0.0728474871
611	0.9769141927	0.07281600511
612	0.9769611758	0.07277643045
613	0.9770151174	0.07273526127
614	0.9770226958	0.07269658753
615	0.9770300762	0.07267254484
616	0.9770272528	0.07263472037
617	0.9770077614	0.07258562011
618	0.9770077614	0.07255721144
619	0.9770060278	0.07252454493
620	0.9769848027	0.07249721611
621	0.9769848027	0.07247744615
622	0.9770071175	0.07244774286
623	0.9770690589	0.07241659128
624	0.9771121525	0.07239391623
625	0.9771156198	0.07236050956
626	0.9771316436	0.07233435281
627	0.9771327336	0.07231483816
628	0.9771688921	0.07228296315
629	0.9771699821	0.0722635123
630	0.9772301887	0.07222084624
631	0.9772353897	0.0721692771
632	0.9772795724	0.07213733157
633	0.9773014404	0.07210331216
634	0.9773049077	0.07208295999
635	0.9772687499	0.07205945691
636	0.9772969091	0.07202816042
637	0.9773163999	0.07200436113
638	0.9773153098	0.07195735161
639	0.9773434689	0.07190593813
640	0.9773716172	0.07187039846
641	0.9773911078	0.07184484231
642	0.9773709845	0.07182587424
643	0.9774099551	0.07179043986
644	0.9773675064	0.07175384882
645	0.9774248987	0.07171560589
646	0.9774638797	0.07168229589
647	0.9775028497	0.0716443618
648	0.9775400965	0.07160607772
649	0.9775641447	0.07158570509
650	0.9775411871	0.07154717903
651	0.9775979239	0.07151140035
652	0.9775996576	0.07149500584
653	0.9775961902	0.07146685926
654	0.9776375754	0.07143643898
655	0.977680023	0.07140912785
656	0.9776730881	0.07136629372
657	0.9776644195	0.07133365459
658	0.9776449295	0.07131525643
659	0.9777051332	0.07128517109
660	0.977724623	0.07126499751
661	0.9777263568	0.07124982182
662	0.9777319768	0.07120515351
663	0.9778346264	0.07116946867
664	0.9778432951	0.07113800493
665	0.9778788066	0.07110930958
666	0.9779086985	0.07106590892
667	0.9778874753	0.07102685542
668	0.9779281879	0.07099698008
669	0.9779264542	0.07097326803
670	0.9779671666	0.07095534472
671	0.9779535212	0.07091152261
672	0.9780384131	0.07086310636
673	0.9780395044	0.07084324028
674	0.9780384131	0.07082599667
675	0.9779970584	0.07080164107
676	0.9780022597	0.07076811536
677	0.9780600848	0.07073127765
678	0.9780813077	0.07069469816
679	0.9780618186	0.07066718412
680	0.9780635523	0.0706528199
681	0.9780440631	0.07063377863
682	0.9780687536	0.0705947426
683	0.9781111994	0.07057448704
684	0.9780600848	0.07053620025
685	0.9780670199	0.07050389282
686	0.9781449762	0.07047788645
687	0.9781449762	0.07046068411
688	0.978153645	0.07043671782
689	0.9781874216	0.07041001605
690	0.9781926229	0.07037783888
691	0.9781748678	0.07034235832
692	0.978173134	0.07031009073
693	0.9782723119	0.07027120677
694	0.9782493556	0.07024615897
695	0.9782601754	0.07022772941
696	0.9782796641	0.07019477315
697	0.9782991527	0.07017840858
698	0.9784160835	0.07012008669
699	0.9784178173	0.07008365185
700	0.978478016	0.07006625409
701	0.978421285	0.07003589963
702	0.9784390395	0.07000729052
